time,temperature,humidity,label
2273,21.00,54.00,0
4546,22.00,54.00,0
6819,22.00,57.00,0
9093,22.00,57.00,0
11366,22.00,58.00,0
13639,22.00,58.00,0
15912,22.00,58.00,0
18186,22.00,60.00,1
20460,22.00,63.00,1
22733,22.00,66.00,1
25006,22.00,69.00,1
27279,22.00,71.00,1
29552,22.00,72.00,1
31825,22.00,74.00,1
34099,22.00,75.00,1
36373,22.00,76.00,1
38647,22.00,77.00,1
40921,22.00,78.00,1
43195,23.00,78.00,1
45469,23.00,78.00,1
47743,23.00,78.00,1
50017,23.00,78.00,1
52291,23.00,78.00,1
54565,23.00,78.00,1
56839,23.00,78.00,1
59112,24.00,78.00,1
61386,24.00,78.00,1
63659,24.00,78.00,1
65932,24.00,78.00,1
68206,24.00,77.00,1
70480,24.00,77.00,1
72753,24.00,77.00,1
75026,25.00,77.00,1
77301,25.00,77.00,1
79574,25.00,76.00,1
81847,25.00,76.00,1
84120,25.00,76.00,1
86394,25.00,75.00,1
88667,25.00,75.00,1
90940,25.00,74.00,1
93213,26.00,75.00,1
95486,26.00,75.00,1
97759,26.00,75.00,1
100032,26.00,75.00,1
102306,26.00,75.00,1
104580,26.00,76.00,1
106854,26.00,76.00,1
109127,26.00,73.00,1
111401,26.00,75.00,1
113674,27.00,75.00,1
115947,27.00,74.00,1
118220,27.00,75.00,1
120494,27.00,75.00,1
122768,27.00,76.00,1
125042,27.00,76.00,1
127316,27.00,75.00,1
129590,27.00,75.00,1
131864,27.00,75.00,1
134138,27.00,75.00,1
136412,27.00,75.00,1
138686,27.00,75.00,1
140961,27.00,74.00,1
143234,28.00,75.00,1
145507,28.00,75.00,1
147780,28.00,74.00,1
150053,28.00,75.00,1
152327,28.00,75.00,1
154600,28.00,74.00,1
156874,28.00,74.00,1
159147,28.00,73.00,1
161420,28.00,72.00,1
163693,28.00,72.00,1
165967,28.00,73.00,1
168241,28.00,72.00,1
170514,28.00,73.00,1
172788,28.00,73.00,1
175062,28.00,74.00,1
177336,28.00,74.00,1
179610,28.00,74.00,1
181883,29.00,75.00,1
184156,29.00,75.00,1
186429,29.00,74.00,1
188703,29.00,74.00,1
190976,29.00,73.00,1
193250,29.00,76.00,1
195524,29.00,73.00,1
197798,29.00,75.00,1
200072,29.00,75.00,1
202346,29.00,76.00,1
204620,29.00,75.00,1
206894,29.00,76.00,1
209168,29.00,74.00,1
211442,29.00,77.00,1
213716,29.00,77.00,1
215990,29.00,77.00,1
218264,29.00,77.00,1
220538,29.00,77.00,1
222812,29.00,77.00,1
225086,29.00,76.00,1
227361,29.00,76.00,1
229635,29.00,76.00,1
231908,30.00,76.00,1
234181,30.00,76.00,1
236455,30.00,75.00,1
238729,30.00,75.00,1
241003,30.00,75.00,1
243277,30.00,75.00,1
245551,30.00,75.00,1
247825,30.00,75.00,1
250100,30.00,74.00,1
252374,30.00,74.00,1
254647,30.00,74.00,1
256920,30.00,74.00,1
259193,30.00,74.00,1
261466,30.00,74.00,1
263740,30.00,73.00,1
266015,30.00,71.00,1
268289,30.00,81.00,1
270563,30.00,78.00,1
272837,30.00,79.00,1
